Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
457,d,c,13140.0,,,1,31,2013,"Jan,Apr,Jul,Oct"
458,c,a,3390.0,,,0,,,None
459,a,a,250.0,9,2008,1,5,2013,"Feb,May,Aug,Nov"
460,a,a,34050.0,4,2008,0,,,None
461,d,c,1790.0,7,2013,1,40,2013,"Jan,Apr,Jul,Oct"
462,a,a,44320.0,8,2008,0,,,None
463,a,a,4160.0,,,0,,,None
464,c,a,520.0,3,2009,0,,,None
465,d,c,10890.0,4,2005,0,,,None
466,a,c,3110.0,3,2003,0,,,None
467,a,c,20390.0,4,2008,0,,,None
468,c,c,5260.0,9,2012,0,,,None
469,c,c,710.0,9,2005,0,,,None
470,a,c,50.0,,,0,,,None
471,d,a,5300.0,,,1,45,2009,"Feb,May,Aug,Nov"
472,c,c,5030.0,8,2011,0,,,None
473,a,a,50.0,,,0,,,None
474,c,a,14810.0,,,1,14,2011,"Mar,Jun,Sept,Dec"
475,a,a,140.0,9,2005,0,,,None
476,d,a,8300.0,9,2006,0,,,None
477,d,a,770.0,7,2010,1,35,2010,"Jan,Apr,Jul,Oct"
478,d,c,1940.0,3,2012,0,,,None
479,a,a,320.0,12,2005,1,9,2011,"Feb,May,Aug,Nov"
480,a,a,300.0,11,2012,0,,,None
481,c,c,7470.0,,,1,44,2012,"Feb,May,Aug,Nov"
482,c,a,2550.0,10,2005,0,,,None
483,a,c,2310.0,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
484,a,c,14300.0,3,2011,0,,,None
485,d,c,3270.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
486,a,a,2320.0,,,1,31,2013,"Jan,Apr,Jul,Oct"
487,d,c,2180.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
488,a,c,2890.0,4,2014,0,,,None
489,a,a,14960.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
490,a,a,660.0,4,2013,1,40,2014,"Jan,Apr,Jul,Oct"
491,d,c,4680.0,,,1,22,2012,"Mar,Jun,Sept,Dec"
492,a,a,1740.0,3,2008,1,40,2012,"Jan,Apr,Jul,Oct"
493,d,c,1150.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
494,b,a,1260.0,6,2011,0,,,None
495,d,a,5470.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
496,d,c,2780.0,6,2015,0,,,None
497,a,c,1610.0,,,0,,,None
498,a,a,990.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
499,c,c,450.0,,,1,5,2013,"Feb,May,Aug,Nov"
500,d,c,10690.0,9,2007,1,5,2013,"Jan,Apr,Jul,Oct"
501,a,c,1620.0,9,2006,0,,,None
502,a,a,220.0,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
503,d,c,13080.0,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
504,c,c,820.0,,,0,,,None
505,a,a,350.0,,,1,5,2013,"Feb,May,Aug,Nov"
506,a,a,1850.0,12,2014,1,18,2011,"Feb,May,Aug,Nov"
507,a,c,9070.0,4,2011,1,37,2009,"Jan,Apr,Jul,Oct"
508,a,c,1280.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
509,a,a,4740.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
510,a,c,8260.0,,,0,,,None
511,a,a,2060.0,9,2009,0,,,None
512,b,b,590.0,,,1,5,2013,"Mar,Jun,Sept,Dec"
513,a,a,400.0,8,2013,0,,,None
514,c,c,1200.0,7,2012,1,27,2012,"Jan,Apr,Jul,Oct"
515,d,c,11260.0,,,1,9,2011,"Feb,May,Aug,Nov"
516,a,c,20.0,,,1,35,2010,"Mar,Jun,Sept,Dec"
517,a,c,22490.0,,,0,,,None
518,d,c,3330.0,3,2015,1,13,2010,"Jan,Apr,Jul,Oct"
519,c,c,2510.0,8,2009,1,1,2012,"Jan,Apr,Jul,Oct"
520,a,c,6900.0,,,1,40,2012,"Mar,Jun,Sept,Dec"
521,d,a,18610.0,11,2002,1,48,2011,"Mar,Jun,Sept,Dec"
522,d,c,7160.0,11,2012,1,9,2011,"Jan,Apr,Jul,Oct"
523,c,c,50.0,11,2013,0,,,None
524,a,c,40860.0,9,2013,0,,,None
525,d,c,1870.0,9,2013,0,,,None
526,a,a,120.0,,,1,48,2011,"Mar,Jun,Sept,Dec"
527,d,c,5830.0,4,2008,0,,,None
528,a,c,20620.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
529,d,c,12920.0,9,2012,0,,,None
530,a,c,18160.0,,,0,,,None
531,a,c,4030.0,,,0,,,None
532,a,c,1070.0,8,2010,0,,,None
533,a,c,5950.0,,,0,,,None
534,d,a,1200.0,9,2009,1,45,2009,"Jan,Apr,Jul,Oct"
535,a,a,3570.0,4,2007,0,,,None
536,a,c,4700.0,9,2002,1,31,2013,"Feb,May,Aug,Nov"
537,a,a,600.0,5,2002,1,1,2012,"Jan,Apr,Jul,Oct"
538,a,a,990.0,2,2010,0,,,None
539,a,a,770.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
540,d,c,810.0,,,1,48,2012,"Jan,Apr,Jul,Oct"
541,a,c,650.0,7,1990,0,,,None
542,a,a,7280.0,9,2012,1,1,2013,"Jan,Apr,Jul,Oct"
543,c,a,1080.0,12,2012,0,,,None
544,a,a,250.0,12,2001,1,13,2010,"Jan,Apr,Jul,Oct"
545,a,c,5020.0,5,2006,1,18,2014,"Feb,May,Aug,Nov"
546,a,a,580.0,1,2005,0,,,None
547,d,c,8990.0,11,2009,1,35,2010,"Mar,Jun,Sept,Dec"
548,d,c,3760.0,2,2009,0,,,None
549,a,c,2330.0,,,0,,,None
550,d,c,50.0,6,2015,0,,,None
551,a,c,2190.0,9,2013,0,,,None
552,a,a,4260.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
553,c,a,3040.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
554,c,c,1200.0,,,0,,,None
555,d,a,1560.0,1,2014,1,10,2013,"Mar,Jun,Sept,Dec"
556,d,c,1140.0,11,2014,0,,,None
557,a,a,250.0,,,0,,,None
558,a,a,3000.0,2,2010,0,,,None
559,d,a,3910.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
560,c,c,1910.0,7,2013,0,,,None
561,d,a,14300.0,,,0,,,None
562,b,c,1210.0,,,0,,,None
563,a,a,700.0,3,2015,1,10,2014,"Jan,Apr,Jul,Oct"
564,d,c,6540.0,,,1,14,2013,"Jan,Apr,Jul,Oct"
565,a,c,160.0,7,2007,0,,,None
566,a,a,3620.0,,,1,40,2013,"Jan,Apr,Jul,Oct"
567,c,a,1010.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
568,d,c,4270.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
569,a,a,1340.0,9,2006,0,,,None
570,a,a,180.0,11,2006,0,,,None
571,d,a,2110.0,11,1995,1,40,2014,"Jan,Apr,Jul,Oct"
572,d,c,9230.0,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
573,a,a,1190.0,11,2012,1,36,2013,"Jan,Apr,Jul,Oct"
574,d,a,4400.0,,,0,,,None
575,a,a,960.0,5,2008,1,13,2010,"Jan,Apr,Jul,Oct"
576,c,a,50.0,11,2006,0,,,None
577,a,c,2270.0,,,1,35,2012,"Mar,Jun,Sept,Dec"
578,d,a,12700.0,4,2013,0,,,None
579,c,a,20970.0,11,2012,0,,,None
580,a,c,170.0,2,2009,0,,,None
581,a,a,7250.0,12,2013,0,,,None
582,a,a,120.0,,,0,,,None
583,a,a,2640.0,11,2002,0,,,None
584,d,a,1360.0,,,1,35,2010,"Mar,Jun,Sept,Dec"
585,d,c,440.0,4,2014,0,,,None
586,a,c,250.0,10,2008,0,,,None
587,d,c,330.0,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
588,d,c,15720.0,3,2010,0,,,None
589,a,c,360.0,,,1,18,2013,"Feb,May,Aug,Nov"
590,d,c,4520.0,9,2010,1,31,2013,"Jan,Apr,Jul,Oct"
591,a,c,3340.0,,,1,22,2012,"Mar,Jun,Sept,Dec"
592,a,a,2540.0,6,2005,0,,,None
593,a,c,33060.0,3,2010,0,,,None
594,a,a,1790.0,10,2011,0,,,None
595,c,c,1130.0,6,2015,0,,,None
596,c,a,290.0,9,2006,0,,,None
597,a,a,150.0,9,2008,1,1,2012,"Mar,Jun,Sept,Dec"
598,c,a,550.0,12,2013,1,40,2014,"Jan,Apr,Jul,Oct"
599,d,c,580.0,11,2014,0,,,None
600,d,c,17340.0,6,2010,1,9,2011,"Feb,May,Aug,Nov"
601,d,a,8220.0,4,2014,1,14,2011,"Jan,Apr,Jul,Oct"
602,a,a,2710.0,7,2001,1,22,2012,"Mar,Jun,Sept,Dec"
603,a,a,340.0,4,2007,1,13,2010,"Jan,Apr,Jul,Oct"
604,d,a,10950.0,3,2014,0,,,None
605,d,a,10310.0,4,2003,1,37,2009,"Jan,Apr,Jul,Oct"
606,a,a,2260.0,11,2007,0,,,None
607,a,a,350.0,8,1999,1,14,2011,"Jan,Apr,Jul,Oct"
608,a,c,18370.0,2,2013,1,14,2011,"Jan,Apr,Jul,Oct"
609,a,a,2070.0,9,2007,0,,,None
610,a,a,660.0,1,2007,0,,,None
611,a,a,8080.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
612,d,c,2490.0,11,2012,1,31,2009,"Jan,Apr,Jul,Oct"
613,c,a,250.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
614,a,a,1160.0,12,2012,0,,,None
615,d,a,730.0,8,2007,0,,,None
616,a,c,3040.0,8,2011,1,35,2010,"Mar,Jun,Sept,Dec"
617,a,c,8940.0,,,1,9,2011,"Jan,Apr,Jul,Oct"
618,d,c,9910.0,,,0,,,None
619,a,a,1600.0,6,2006,1,45,2009,"Feb,May,Aug,Nov"
620,d,c,5440.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
621,a,a,30.0,7,2002,0,,,None
622,a,c,2325.0,,,0,,,None
623,a,a,4080.0,3,2011,1,13,2010,"Jan,Apr,Jul,Oct"
624,a,c,6920.0,9,2011,0,,,None
625,a,a,1170.0,4,2011,1,22,2012,"Feb,May,Aug,Nov"
626,c,c,10740.0,11,2013,0,,,None
627,c,c,3970.0,3,2010,0,,,None
628,a,c,2180.0,,,0,,,None
629,d,a,510.0,7,2014,1,23,2015,"Mar,Jun,Sept,Dec"
630,a,a,1690.0,4,2015,0,,,None
631,d,c,2870.0,,,1,35,2012,"Mar,Jun,Sept,Dec"
632,a,a,3350.0,2,2010,0,,,None
633,d,a,11640.0,4,2005,1,22,2011,"Jan,Apr,Jul,Oct"
634,d,a,18610.0,,,0,,,None
635,a,a,27530.0,4,2014,0,,,None
636,c,a,720.0,10,2004,1,13,2010,"Jan,Apr,Jul,Oct"
637,d,c,9790.0,,,1,31,2009,"Feb,May,Aug,Nov"
638,d,a,10170.0,11,2001,0,,,None
639,a,a,7780.0,11,2006,0,,,None
640,d,c,8040.0,,,0,,,None
641,a,c,610.0,12,2003,1,36,2013,"Mar,Jun,Sept,Dec"
642,c,c,530.0,4,2005,1,35,2010,"Mar,Jun,Sept,Dec"
643,a,a,230.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
644,c,a,4030.0,12,2004,1,14,2011,"Jan,Apr,Jul,Oct"
645,a,a,90.0,,,1,45,2009,"Feb,May,Aug,Nov"
646,a,a,620.0,9,2014,0,,,None
647,a,c,7420.0,4,2013,0,,,None
648,d,a,2130.0,12,2008,0,,,None
649,a,a,14570.0,11,2002,0,,,None
650,a,a,1420.0,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
651,a,a,200.0,,,0,,,None
652,a,a,20390.0,,,0,,,None
653,d,c,7520.0,7,2014,1,45,2009,"Feb,May,Aug,Nov"
654,c,a,6930.0,9,2006,0,,,None
655,d,c,960.0,11,2012,1,5,2013,"Feb,May,Aug,Nov"
656,d,a,410.0,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
657,c,c,80.0,1,2006,1,10,2014,"Jan,Apr,Jul,Oct"
658,d,c,520.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
659,d,a,1590.0,3,2012,0,,,None
660,a,a,1200.0,11,2006,1,40,2014,"Jan,Apr,Jul,Oct"
661,d,c,2140.0,7,2013,0,,,None
662,d,a,1070.0,,,0,,,None
663,a,c,7860.0,5,2005,0,,,None
664,d,c,1680.0,10,2005,0,,,None
665,a,a,90.0,12,2012,1,14,2011,"Jan,Apr,Jul,Oct"
666,c,c,2700.0,,,1,9,2011,"Mar,Jun,Sept,Dec"
667,d,c,2870.0,9,2012,0,,,None
668,c,a,1270.0,9,2010,0,,,None
669,d,a,17080.0,7,2012,1,31,2013,"Jan,Apr,Jul,Oct"
670,a,a,2060.0,,,1,45,2009,"Feb,May,Aug,Nov"
671,a,c,2070.0,2,2008,1,39,2010,"Jan,Apr,Jul,Oct"
672,c,a,240.0,9,2002,0,,,None
673,d,c,15170.0,,,1,5,2013,"Feb,May,Aug,Nov"
674,a,a,2640.0,12,2005,1,31,2013,"Feb,May,Aug,Nov"
675,a,a,2100.0,8,2013,1,14,2011,"Jan,Apr,Jul,Oct"
676,b,b,1410.0,9,2008,0,,,None
677,d,a,1740.0,6,2014,1,45,2009,"Feb,May,Aug,Nov"
678,c,a,3250.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
679,a,a,4140.0,9,2012,0,,,None
680,c,a,170.0,,,1,35,2012,"Mar,Jun,Sept,Dec"
681,a,c,620.0,,,1,1,2014,"Mar,Jun,Sept,Dec"
682,b,a,150.0,9,2006,0,,,None
683,a,a,2850.0,7,2014,0,,,None
684,d,c,680.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
685,a,a,650.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
686,a,a,20050.0,4,2002,0,,,None
687,d,c,2770.0,,,0,,,None
688,a,a,18760.0,8,2015,1,14,2011,"Jan,Apr,Jul,Oct"
689,d,a,15040.0,10,2004,0,,,None
690,a,a,100.0,,,0,,,None
691,d,c,3030.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
692,a,a,40.0,8,2001,0,,,None
693,d,a,450.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
694,a,c,460.0,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
695,a,a,550.0,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
696,a,c,430.0,,,0,,,None
697,d,a,3780.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
698,a,a,1790.0,5,2011,0,,,None
699,a,a,180.0,,,1,5,2013,"Jan,Apr,Jul,Oct"
700,a,c,830.0,,,1,27,2013,"Jan,Apr,Jul,Oct"
701,d,a,1450.0,3,2012,1,14,2011,"Jan,Apr,Jul,Oct"
702,a,a,8550.0,9,2001,1,45,2009,"Feb,May,Aug,Nov"
703,a,a,80.0,6,2005,0,,,None
704,d,c,1910.0,4,2009,0,,,None
705,a,a,4140.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
706,d,a,7830.0,9,2014,1,10,2014,"Mar,Jun,Sept,Dec"
707,a,c,2900.0,7,1990,0,,,None
708,c,c,11470.0,10,2009,1,18,2014,"Jan,Apr,Jul,Oct"
709,a,a,500.0,12,2010,0,,,None
710,d,a,1500.0,9,2008,1,14,2011,"Jan,Apr,Jul,Oct"
711,d,a,17110.0,3,2007,1,5,2010,"Jan,Apr,Jul,Oct"
712,a,a,4870.0,9,2007,1,45,2009,"Jan,Apr,Jul,Oct"
713,a,c,220.0,,,1,10,2014,"Jan,Apr,Jul,Oct"
714,d,c,12070.0,10,2005,1,10,2013,"Jan,Apr,Jul,Oct"
715,a,a,14810.0,6,2014,0,,,None
716,d,a,3200.0,1,2008,1,22,2011,"Jan,Apr,Jul,Oct"
717,d,c,310.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
718,a,a,1100.0,6,2015,0,,,None
719,c,c,8190.0,,,1,45,2009,"Feb,May,Aug,Nov"
720,a,c,15320.0,3,2011,1,14,2013,"Feb,May,Aug,Nov"
721,a,c,3590.0,9,2012,1,22,2012,"Mar,Jun,Sept,Dec"
722,a,a,50.0,,,0,,,None
723,d,c,5650.0,9,2008,1,5,2013,"Feb,May,Aug,Nov"
724,d,c,5900.0,,,0,,,None
725,d,c,17540.0,6,2012,0,,,None
726,a,c,40540.0,2,2002,0,,,None
727,a,a,2050.0,3,2007,0,,,None
728,d,a,13990.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
729,c,c,8980.0,6,2011,0,,,None
730,c,a,1190.0,9,2013,0,,,None
731,a,a,15270.0,,,1,10,2014,"Jan,Apr,Jul,Oct"
732,a,c,35280.0,,,0,,,None
733,b,b,860.0,10,1999,0,,,None
734,a,a,220.0,,,1,36,2013,"Mar,Jun,Sept,Dec"
735,d,c,1920.0,4,2005,0,,,None
736,c,c,1650.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
737,a,a,100.0,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
738,d,c,5980.0,10,2005,0,,,None
739,d,c,2770.0,6,2008,1,22,2011,"Jan,Apr,Jul,Oct"
740,d,a,6400.0,3,2014,0,,,None
741,d,c,11900.0,,,0,,,None
742,d,c,4380.0,,,0,,,None
743,a,a,6710.0,11,2003,1,14,2012,"Jan,Apr,Jul,Oct"
744,a,a,1370.0,12,2011,1,40,2014,"Jan,Apr,Jul,Oct"
745,a,a,17650.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
746,d,c,4330.0,2,2011,1,35,2011,"Mar,Jun,Sept,Dec"
747,c,c,45740.0,8,2008,0,,,None
748,d,a,2380.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
749,a,a,3410.0,8,2011,1,14,2015,"Jan,Apr,Jul,Oct"
750,d,a,8670.0,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
751,a,a,650.0,10,2006,0,,,None
752,a,a,970.0,3,2013,1,31,2013,"Feb,May,Aug,Nov"
753,d,c,540.0,11,2012,1,35,2010,"Mar,Jun,Sept,Dec"
754,c,c,380.0,5,2008,1,10,2014,"Mar,Jun,Sept,Dec"
755,d,c,13130.0,12,2003,0,,,None
756,a,c,50.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
757,a,c,3450.0,,,0,,,None
758,a,c,19780.0,6,2008,0,,,None
759,a,a,110.0,11,2012,1,31,2013,"Feb,May,Aug,Nov"
760,a,a,560.0,1,2011,0,,,None
761,a,a,2390.0,9,2012,0,,,None
762,d,c,1280.0,,,1,10,2013,"Mar,Jun,Sept,Dec"
763,d,c,32240.0,3,2010,0,,,None
764,a,c,26490.0,,,1,10,2014,"Mar,Jun,Sept,Dec"
765,a,c,25430.0,5,1999,1,37,2009,"Jan,Apr,Jul,Oct"
766,d,c,9820.0,,,0,,,None
767,a,c,13080.0,,,0,,,None
768,a,c,2630.0,9,2012,0,,,None
769,b,b,840.0,,,1,48,2012,"Jan,Apr,Jul,Oct"
770,a,c,100.0,4,2015,0,,,None
771,a,a,20640.0,9,2007,0,,,None
772,d,c,1850.0,,,0,,,None
773,a,a,200.0,,,0,,,None
774,a,c,640.0,9,2013,0,,,None
775,d,c,6970.0,12,2005,1,22,2011,"Jan,Apr,Jul,Oct"
776,c,a,700.0,4,2009,1,14,2011,"Jan,Apr,Jul,Oct"
777,d,c,8250.0,10,2004,1,10,2013,"Mar,Jun,Sept,Dec"
778,a,a,340.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
779,a,a,16990.0,4,2004,0,,,None
780,a,a,18160.0,,,0,,,None
781,a,a,630.0,4,2007,0,,,None
782,c,c,5390.0,8,2003,1,1,2012,"Jan,Apr,Jul,Oct"
783,d,c,15490.0,,,0,,,None
784,a,a,560.0,10,2014,1,10,2014,"Jan,Apr,Jul,Oct"
785,d,c,970.0,7,2005,1,31,2013,"Feb,May,Aug,Nov"
786,a,a,290.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
787,c,c,3210.0,6,2009,0,,,None
788,a,c,1530.0,3,2013,0,,,None
789,a,c,9770.0,7,2003,0,,,None
790,d,c,9070.0,12,2003,0,,,None
791,a,a,5950.0,4,2007,0,,,None
792,d,a,17280.0,10,2009,1,18,2011,"Feb,May,Aug,Nov"
793,d,a,2710.0,7,2006,0,,,None
794,c,c,5090.0,9,2006,0,,,None
795,d,a,510.0,,,1,35,2010,"Mar,Jun,Sept,Dec"
796,a,c,7180.0,11,2012,0,,,None
797,a,a,2090.0,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
798,a,a,9560.0,4,2001,0,,,None
799,a,c,2700.0,,,0,,,None
800,d,a,2020.0,7,2014,0,,,None
801,d,a,48330.0,4,2013,0,,,None
802,a,c,910.0,,,1,22,2011,"Feb,May,Aug,Nov"
803,d,a,1760.0,,,1,10,2014,"Mar,Jun,Sept,Dec"
804,c,c,2100.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
805,d,a,24770.0,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
806,d,a,260.0,,,1,44,2010,"Feb,May,Aug,Nov"
807,a,a,3870.0,4,2008,0,,,None
808,a,a,18620.0,,,1,31,2009,"Feb,May,Aug,Nov"
809,a,a,12770.0,10,2000,0,,,None
810,d,c,9640.0,11,2013,0,,,None
811,a,a,410.0,9,2012,0,,,None
812,d,a,2590.0,9,2012,0,,,None
813,a,a,1560.0,9,2003,0,,,None
814,d,c,24530.0,7,2013,0,,,None
815,a,a,590.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct"
816,c,c,460.0,,,0,,,None
817,a,a,140.0,3,2006,0,,,None
818,d,a,490.0,,,1,35,2010,"Mar,Jun,Sept,Dec"
819,a,c,720.0,10,2014,0,,,None
820,a,c,1650.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
821,a,a,1700.0,9,2009,0,,,None
822,a,c,410.0,11,2010,1,48,2010,"Mar,Jun,Sept,Dec"
823,a,c,16210.0,11,2010,0,,,None
824,a,a,17570.0,,,0,,,None
825,a,a,380.0,5,2011,1,40,2014,"Jan,Apr,Jul,Oct"
826,a,c,7980.0,6,2005,0,,,None
827,a,c,250.0,1,2005,0,,,None
828,d,c,3290.0,12,2014,0,,,None
829,c,a,110.0,,,0,,,None
830,a,c,6320.0,,,1,5,2011,"Jan,Apr,Jul,Oct"
831,a,a,800.0,6,2007,0,,,None
832,d,a,5070.0,,,1,45,2009,"Feb,May,Aug,Nov"
833,d,c,3290.0,12,1999,1,35,2010,"Mar,Jun,Sept,Dec"
834,a,a,3470.0,3,2012,0,,,None
835,a,a,2890.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
836,a,a,2720.0,9,2012,0,,,None
837,a,c,14600.0,4,2015,0,,,None
838,d,c,6890.0,,,1,48,2011,"Mar,Jun,Sept,Dec"
839,c,a,240.0,1,2015,0,,,None
840,a,a,1070.0,9,2009,0,,,None
841,a,a,27650.0,8,2004,0,,,None
842,d,c,1200.0,11,2007,0,,,None
843,c,a,60.0,4,2006,0,,,None
844,a,a,2030.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
845,d,a,7860.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
846,a,c,8860.0,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
847,c,c,190.0,,,1,31,2013,"Feb,May,Aug,Nov"
848,a,c,370.0,7,2007,1,14,2011,"Jan,Apr,Jul,Oct"
849,c,c,5000.0,,,0,,,None
850,d,a,1120.0,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
851,d,c,2330.0,,,1,49,2014,"Mar,Jun,Sept,Dec"
852,c,a,940.0,4,2004,1,14,2011,"Jan,Apr,Jul,Oct"
853,a,a,14040.0,,,0,,,None
854,c,a,4770.0,,,1,13,2010,"Jan,Apr,Jul,Oct"
855,a,a,3440.0,,,1,45,2009,"Feb,May,Aug,Nov"
856,a,a,3020.0,2,2010,0,,,None
857,c,a,6270.0,8,2005,1,23,2014,"Mar,Jun,Sept,Dec"
858,a,a,3370.0,12,2008,1,40,2014,"Jan,Apr,Jul,Oct"
859,c,a,21770.0,7,2015,0,,,None
860,c,c,5980.0,2,2010,0,,,None
861,c,c,740.0,,,1,14,2013,"Mar,Jun,Sept,Dec"
862,a,c,2840.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
863,a,c,21370.0,11,2010,0,,,None
864,a,a,1020.0,10,2012,1,45,2009,"Feb,May,Aug,Nov"
865,d,c,2640.0,,,0,,,None
866,d,a,9680.0,,,1,5,2013,"Feb,May,Aug,Nov"
867,d,c,21810.0,9,2012,0,,,None
868,d,c,1360.0,8,2005,1,10,2014,"Jan,Apr,Jul,Oct"
869,c,a,230.0,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
870,a,a,780.0,4,2009,0,,,None
871,d,c,10620.0,,,0,,,None
872,a,c,3860.0,9,2014,1,23,2015,"Mar,Jun,Sept,Dec"
873,a,a,2040.0,11,2008,0,,,None
874,a,a,3210.0,,,0,,,None
875,d,a,5070.0,11,2007,1,18,2015,"Feb,May,Aug,Nov"
876,a,a,21790.0,4,2005,1,18,2015,"Feb,May,Aug,Nov"
877,a,c,29190.0,,,0,,,None
878,d,c,1100.0,12,2014,0,,,None
879,d,a,2325.0,,,1,5,2013,"Feb,May,Aug,Nov"
880,a,c,4570.0,,,0,,,None
881,a,a,180.0,3,2008,1,31,2013,"Feb,May,Aug,Nov"
882,a,a,30.0,4,2013,0,,,None
883,a,a,3200.0,6,2005,0,,,None
884,d,c,7550.0,,,0,,,None
885,a,a,480.0,12,2005,0,,,None
886,a,c,12430.0,10,2004,0,,,None
887,d,a,19700.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
888,d,a,4450.0,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
889,d,a,18670.0,12,2005,0,,,None
890,a,a,4450.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
891,a,c,350.0,,,1,31,2013,"Feb,May,Aug,Nov"
892,a,a,19370.0,4,2002,0,,,None
893,a,a,130.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
894,a,a,190.0,11,2012,0,,,None
895,a,c,4150.0,,,0,,,None
896,a,c,170.0,9,2012,0,,,None
897,c,c,3290.0,1,2007,1,5,2013,"Feb,May,Aug,Nov"
898,a,a,18540.0,,,0,,,None
899,d,a,2590.0,,,1,13,2010,"Jan,Apr,Jul,Oct"
900,a,a,3920.0,4,2005,1,40,2014,"Jan,Apr,Jul,Oct"
901,a,c,3170.0,4,2014,0,,,None
902,a,a,310.0,5,2015,1,40,2014,"Jan,Apr,Jul,Oct"
903,d,c,7290.0,9,2014,0,,,None
904,d,c,570.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
905,a,a,90.0,6,2014,0,,,None
906,a,a,90.0,7,2010,0,,,None
907,a,c,250.0,,,0,,,None
908,a,a,1980.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
909,a,c,1680.0,,,1,45,2009,"Feb,May,Aug,Nov"
910,d,c,12480.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
911,a,c,16490.0,,,0,,,None
912,c,c,3100.0,5,2010,0,,,None
913,a,a,280.0,,,0,,,None
914,c,c,2640.0,4,2011,1,22,2012,"Mar,Jun,Sept,Dec"
915,d,c,650.0,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
916,a,a,90.0,11,2012,0,,,None
917,a,a,7240.0,2,2010,0,,,None
918,a,c,18710.0,4,2015,0,,,None
919,a,a,2620.0,,,1,45,2009,"Feb,May,Aug,Nov"
920,a,a,850.0,2,2012,1,40,2014,"Jan,Apr,Jul,Oct"
921,a,a,840.0,9,2006,0,,,None
